No.,名称,コスト,種類,破壊効果あり,カード効果テキスト
1,サラマンダーブレス,1,0,0,縦4マスの範囲の隕石を破壊する
2,ウンディーネ・ウェイブ,1,0,0,横4マスの範囲の隕石を破壊する
3,シルフ・ゲイル,1,0,0,3×3の十字の範囲の隕石を破壊する
4,ノーム・グレイブル,1,0,0,2×2の正方形の範囲の隕石を破壊する
5,アストラルリコール,0,1,1,カードを4枚ドローする
6,星磁力,1,0,1,ランダムに隕石を4個まで選び、2×2の正方形の範囲に引き寄せる
7,グラビトンコア,2,0,1,ランダムに隕石を9個まで選び、3×3の正方形の範囲に引き寄せる
8,彗星,3,0,0,横一列の範囲の隕石を破壊する
9,グラビトンブレイク,1,0,0,選択した隕石から始め、上下左右1マスで繋がっている隕石をすべて破壊する
10,星屑収集,1,1,0,ドローボタンでカードを引いた数、ランダムな隕石を破壊するn現在x個
11,サクリファイス・レプリカ,0,2,1,このカードがコスト支払いに使用される場合、二枚分のコストとして扱う
12,コメットブロー,5,0,0,3×3の正方形の範囲の隕石を破壊し、カードを5枚ドローする
13,複製魔法,1,1,1,ランダムなカードに変化し、その効果を即時に発揮する
14,グラビトンリジェクト,2,1,1,このターンから数えて、3ターンの間、隕石が落下しなくなる
15,チェンジリング・マギア,0,2,0,このカードがコスト支払いに使用された場合、ランダムに隕石を二個破壊する
16,不破の城塞,1,1,0,手札の枚数+2個まで、ランダムに隕石を破壊する
17,聖櫃の開放,5,1,1,手札のカード全てのコストを0にする
18,詮索するはばたき,2,1,1,カードを3枚ドローし、それらのコストを1下げる
19,魔力障壁,0,2,1,このカードがコスト支払いに使用された場合、そのターン、隕石は落下しなくなる
20,アストラルリベリオン,5,0,0,5×5の正方形の範囲の隕石を破壊し、スコア50000点以上なら7枚ドローする
21,残光のアストラル,1,1,1,カードを2枚ドローし、スコア30000点ごとにドローする枚数を+2する
22,至高天の顕現,4,1,1,カードを2枚ドローし、それらのコストを0にする
23,グラビトンオフセッツ,0,0,0,横4マスの範囲の隕石を破壊し、上5列にランダムに隕石を4個生成する
24,隕石の儀式,2,1,1,最上列すべてのマスに隕石を生成し、カードを6枚ドローする
25,知性の光,1,0,0,斜め4マスの範囲の隕石を破壊し、破壊した数と同じ枚数分、カードをドローする
26,願いの代償,0,0,1,隕石を3×3の十字に生成し、カードを3枚ドローする
27,復興の灯,1,1,1,ライフをひとつ分回復する
28,光の奔流,2,1,1,次のターンから数えて3ターンの間、行動終了後にカードを2枚ドローする
29,ドラゴニックブレス,3,0,0,横2×縦4の範囲の隕石を破壊する
30,タイダルウェーブ,3,0,0,横4×縦2に隕石を破壊する
31,シルフ・サイクロン,3,0,0,5×5の十字に隕石を破壊する
32,テラリウムグレイブ,3,0,0,大きく四角状に隕石を破壊する
33,流星群,9,1,0,ランダムに70マスを選択し、そのマスに隕石が存在する場合、それを破壊する
34,次元断裂,9,0,0,巨大な斜め状の範囲の隕石を破壊する
35,ラスト・ショット,0,1,1,このカードが手札の最後の一枚なら、カードを10枚ドローする
